FRAME_NUM,TIME_STAMP,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z,TARGET_ID,TARGET_X,TARGET_Y,TARGET_Z
2,Jun-23-2022 15:22:01.917,1,-0.62,1.30,1.62
19,Jun-23-2022 15:22:02.028,1,-0.63,1.32,1.63
20,Jun-23-2022 15:22:02.139,1,-0.62,1.34,1.62
21,Jun-23-2022 15:22:02.250,1,-0.62,1.34,1.64
22,Jun-23-2022 15:22:02.362,1,-0.59,1.37,1.68
23,Jun-23-2022 15:22:02.473,1,-0.59,1.37,1.64
24,Jun-23-2022 15:22:02.584,1,-0.60,1.34,1.63
25,Jun-23-2022 15:22:02.695,1,-0.61,1.33,1.62
26,Jun-23-2022 15:22:02.806,1,-0.61,1.31,1.60
27,Jun-23-2022 15:22:02.917,1,-0.60,1.29,1.60
28,Jun-23-2022 15:22:03.028,2,-0.18,0.84,0.62,1,-0.56,1.29,1.64
29,Jun-23-2022 15:22:03.139,2,-0.19,0.84,0.62,1,-0.62,1.30,1.45,3,-0.01,0.84,0.90
30,Jun-23-2022 15:22:03.250,2,-0.19,0.84,0.62,1,-0.52,1.18,1.24,3,0.10,0.86,1.02
31,Jun-23-2022 15:22:03.362,2,-0.13,0.89,0.74,1,-0.56,1.24,1.48,3,0.09,0.87,1.02
32,Jun-23-2022 15:22:03.473,2,-0.23,0.97,0.64,1,-0.55,1.23,1.48,3,0.14,0.90,1.09
33,Jun-23-2022 15:22:03.584,2,-0.24,0.99,0.64,1,-0.55,1.22,1.48,3,0.23,0.91,1.18
34,Jun-23-2022 15:22:03.695,2,-0.19,0.93,0.64,1,-0.60,1.18,1.59,3,0.24,0.92,1.18
35,Jun-23-2022 15:22:03.806,2,-0.18,0.89,0.63,1,-0.61,1.16,1.59,3,0.25,0.93,1.18
36,Jun-23-2022 15:22:03.917,2,-0.18,0.89,0.63,1,-0.61,1.15,1.59,3,0.26,0.91,1.17
37,Jun-23-2022 15:22:04.028,2,-0.08,0.82,0.64,1,-0.58,1.18,1.71,3,0.28,0.91,1.17
38,Jun-23-2022 15:22:04.139,2,-0.01,0.83,0.73,1,-0.58,1.17,1.71,3,0.29,0.92,1.17
39,Jun-23-2022 15:22:04.250,2,-0.12,0.83,0.56,1,-0.58,1.17,1.71,3,0.33,0.87,1.22
40,Jun-23-2022 15:22:04.362,2,-0.21,0.81,0.45,1,-0.57,1.17,1.71,3,0.31,0.87,1.22
41,Jun-23-2022 15:22:04.473,2,-0.22,0.80,0.45,1,-0.57,1.16,1.71,3,0.31,0.87,1.26
42,Jun-23-2022 15:22:04.584,2,-0.10,0.82,0.64,1,-0.58,1.19,1.74,3,0.47,0.71,1.03
43,Jun-23-2022 15:22:04.695,2,-0.05,0.86,0.77,1,-0.61,1.18,1.78,3,0.62,0.66,0.97
44,Jun-23-2022 15:22:04.806,2,-0.04,0.83,0.73,1,-0.61,1.19,1.75,3,0.71,0.65,0.79
45,Jun-23-2022 15:22:04.917,2,0.13,0.85,0.97,1,-0.61,1.21,1.66,3,0.77,0.62,0.79
46,Jun-23-2022 15:22:05.028,2,0.20,0.87,1.09,1,-0.61,1.21,1.66,3,0.81,0.60,0.79
47,Jun-23-2022 15:22:05.139,2,0.26,0.85,1.09,1,-0.61,1.21,1.66,3,0.85,0.58,0.79
48,Jun-23-2022 15:22:05.250,2,0.34,0.86,1.20,1,-0.61,1.21,1.66,3,0.87,0.57,0.79
49,Jun-23-2022 15:22:05.362,2,0.32,0.86,1.18,1,-0.62,1.22,1.66,3,0.89,0.56,0.79
50,Jun-23-2022 15:22:05.473,2,0.34,0.85,1.22,1,-0.62,1.22,1.66,3,0.91,0.55,0.79
51,Jun-23-2022 15:22:05.584,2,0.32,0.84,1.15,1,-0.62,1.22,1.66,3,0.92,0.55,0.79
52,Jun-23-2022 15:22:05.695,2,0.35,0.83,1.15,3,0.93,0.54,0.79
53,Jun-23-2022 15:22:05.806,2,0.28,0.82,1.08
54,Jun-23-2022 15:22:05.917,2,0.30,0.83,1.15
55,Jun-23-2022 15:22:06.028,2,0.35,0.83,1.16
56,Jun-23-2022 15:22:06.139,2,0.37,0.84,1.15
57,Jun-23-2022 15:22:06.250,2,0.37,0.83,1.16
58,Jun-23-2022 15:22:06.362,2,0.37,0.87,1.24
59,Jun-23-2022 15:22:06.473,2,0.30,0.90,1.24
60,Jun-23-2022 15:22:06.584,2,0.26,0.88,1.16
61,Jun-23-2022 15:22:06.695,2,0.28,0.84,1.06
62,Jun-23-2022 15:22:06.806,2,0.29,0.81,1.03
63,Jun-23-2022 15:22:06.917,2,0.28,0.81,1.06
64,Jun-23-2022 15:22:07.028,2,0.22,0.85,1.16
65,Jun-23-2022 15:22:07.139,2,0.21,0.87,1.18
66,Jun-23-2022 15:22:07.251,2,0.23,0.85,1.14
67,Jun-23-2022 15:22:07.362,2,0.10,0.83,0.94
68,Jun-23-2022 15:22:07.473,2,0.20,0.86,1.10
69,Jun-23-2022 15:22:07.584,2,0.28,0.89,1.29
70,Jun-23-2022 15:22:07.695,2,0.12,0.89,1.04
71,Jun-23-2022 15:22:07.806,2,0.18,0.88,1.12,1,-0.59,1.29,1.67
72,Jun-23-2022 15:22:07.917,2,0.21,0.88,1.15,1,-0.59,1.29,1.67
73,Jun-23-2022 15:22:08.028,2,0.07,0.85,0.90,1,-0.58,1.26,1.66
74,Jun-23-2022 15:22:08.139,2,0.01,0.84,0.82,1,-0.58,1.26,1.66
75,Jun-23-2022 15:22:08.251,2,0.13,0.84,0.97
76,Jun-23-2022 15:22:08.362,2,0.21,0.83,1.02
77,Jun-23-2022 15:22:08.473,2,0.24,0.83,1.05
78,Jun-23-2022 15:22:08.584,2,0.26,0.83,1.14
79,Jun-23-2022 15:22:08.695,2,0.30,0.84,1.18
80,Jun-23-2022 15:22:08.806,2,0.26,0.87,1.19
81,Jun-23-2022 15:22:08.917,2,0.26,0.86,1.15
82,Jun-23-2022 15:22:09.028,2,0.29,0.86,1.21
83,Jun-23-2022 15:22:09.139,2,0.31,0.86,1.20
84,Jun-23-2022 15:22:09.251,2,0.31,0.82,1.09
85,Jun-23-2022 15:22:09.362,2,0.29,0.85,1.24
86,Jun-23-2022 15:22:09.473,2,0.30,0.84,1.26
87,Jun-23-2022 15:22:09.584,2,0.31,0.87,1.33
88,Jun-23-2022 15:22:09.695,2,0.25,0.88,1.26
89,Jun-23-2022 15:22:09.806,2,0.23,0.88,1.23
90,Jun-23-2022 15:22:09.917,2,0.27,0.88,1.22
91,Jun-23-2022 15:22:10.028,2,0.24,0.88,1.21
92,Jun-23-2022 15:22:10.139,2,0.23,0.89,1.21
93,Jun-23-2022 15:22:10.251,2,0.22,0.88,1.21
94,Jun-23-2022 15:22:10.362,2,0.21,0.87,1.16
95,Jun-23-2022 15:22:10.473,2,0.20,0.87,1.15
96,Jun-23-2022 15:22:10.584,2,0.06,0.81,0.90,1,-0.59,1.22,1.68
97,Jun-23-2022 15:22:10.695,2,0.13,0.83,1.00,1,-0.67,1.21,1.59
98,Jun-23-2022 15:22:10.806,2,0.02,0.83,0.86,1,-0.62,1.24,1.68
99,Jun-23-2022 15:22:10.917,2,0.12,0.86,1.05,1,-0.60,1.22,1.71
100,Jun-23-2022 15:22:11.028,2,-0.01,0.85,0.84,1,-0.61,1.25,1.65
101,Jun-23-2022 15:22:11.140,2,-0.15,0.82,0.62,1,-0.62,1.25,1.65
102,Jun-23-2022 15:22:11.251,2,0.03,0.85,0.94,1,-0.56,1.21,1.75
103,Jun-23-2022 15:22:11.362,2,0.15,0.88,1.11,1,-0.60,1.23,1.65
104,Jun-23-2022 15:22:11.473,2,0.19,0.89,1.15,1,-0.76,1.20,1.56
105,Jun-23-2022 15:22:11.584,2,0.20,0.90,1.19,1,-0.68,1.25,1.62
106,Jun-23-2022 15:22:11.695,2,0.16,0.88,1.08,1,-0.64,1.30,1.61
107,Jun-23-2022 15:22:11.806,2,0.24,0.85,1.10,1,-0.61,1.29,1.64
108,Jun-23-2022 15:22:11.917,2,0.24,0.85,1.11,1,-0.60,1.28,1.68
